tweet_id,in_reply_to_status_id,in_reply_to_user_id,retweeted_status_id,retweeted_status_user_id,timestamp,source,expanded_urls,v2,v1,,
3.21E+17,,222854927,,,2013-04-06 12:14:31 +0000,web,http://www.billporter.info/,U dun say so early hor... U c already then say...,ham,,
3.19E+17,3.19E+17,63752206,,,2013-04-01 08:44:20 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,,
3.18E+17,3.18E+17,15105039,,,2013-03-30 08:11:21 +0000,web,,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,,
3.17E+17,3.17E+17,63752206,,,2013-03-28 12:28:26 +0000,web,,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ham,,
3.17E+17,3.17E+17,74129089,,,2013-03-27 04:54:22 +0000,web,,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,,
3.16E+17,,,3.16E+17,747153,2013-03-26 04:36:02 +0000,web,http://pigworkshop.fifthelephant.in/,I'm back &amp; we're packing the car now  I'll let you know if there's room,ham,,
3.16E+17,3.16E+17,74129089,,,2013-03-24 16:05:38 +0000,web,,For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,,
3.16E+17,,,,,2013-03-24 15:45:01 +0000,web,,Anything lor... U decide...,ham,,
3.14E+17,3.14E+17,7657282,,,2013-03-19 05:12:32 +0000,web,,WHO ARE YOU SEEING?,ham,,
3.13E+17,,,,,2013-03-17 21:40:15 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Yeah hopefully  if tyler can't do it I could maybe ask around a bit,ham,,
3.11E+17,3.11E+17,95023423,,,2013-03-10 04:28:56 +0000,web,,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it  since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",ham,,
3.09E+17,,,3.09E+17,17503180,2013-03-06 06:20:23 +0000,web,http://flic.kr/p/dZZnEP,Tell where you reached,ham,,
3.07E+17,,,3.07E+17,14369216,2013-02-28 03:50:21 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Sorry my roommates took forever  it ok if I come by now?,ham,,
3.04E+17,,,,,2013-02-19 14:27:55 +0000,"<a href=""http://www.vim.org/scripts/script.php?script_id=2204"" rel=""nofollow"">TwitVim</a>",,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",spam,,
3.02E+17,,,,,2013-02-15 16:32:34 +0000,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",http://sudarmuthu.com/blog/make-sure-you-enable-binary-logs-in-mysql,K..k:)where are you?how did you performed?,ham,,
3.02E+17,3.02E+17,17751683,,,2013-02-14 16:21:03 +0000,web,,Does not operate after  &lt;#&gt;  or what,ham,,
3.01E+17,3.01E+17,74129089,,,2013-02-11 03:48:32 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,You will be in the place of that man,ham,,
3.00E+17,,,,,2013-02-10 04:36:30 +0000,web,,I'm really not up to it still tonight babe,ham,,
2.98E+17,,,,,2013-02-03 12:32:45 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,,
2.96E+17,2.96E+17,8016772,,,2013-01-30 03:44:05 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
2.91E+17,2.91E+17,69893,,,2013-01-15 16:55:58 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham,,
2.91E+17,2.90E+17,40273473,,,2013-01-14 02:17:19 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,,
2.89E+17,2.89E+17,17308938,,,2013-01-10 06:36:53 +0000,web,,Are you there in room.,ham,,
2.89E+17,,,,,2013-01-08 15:10:17 +0000,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",http://sudarmuthu.com/wordpress/email-log,First answer my question.,ham,,
2.88E+17,,,,,2013-01-07 06:05:06 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://hardwarefun.com/tutorials/using-arduino-as-a-bridge-to-connect-serial-devices-with-pc,No no. I will check all rooms befor activities,ham,,
2.87E+17,2.87E+17,15105039,,,2013-01-04 10:08:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",ham,,
2.87E+17,2.87E+17,19160166,,,2013-01-04 06:03:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,,
2.87E+17,,,,,2013-01-03 06:44:49 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Ok... Ur typical reply...,ham,,
2.85E+17,,,2.85E+17,742964078,2012-12-30 08:03:11 +0000,web,,Hello  my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?,ham,,
2.85E+17,2.85E+17,15105039,,,2012-12-28 13:17:09 +0000,web,,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,,
2.84E+17,,,2.84E+17,1593171,2012-12-28 02:37:12 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Hi frnd  which is best way to avoid missunderstding wit our beloved one's?,ham,,
2.82E+17,,,2.81E+17,16024147,2012-12-20 03:25:12 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://freethephotos.com/,What time you coming down later? ,ham,,
2.81E+17,,,,,2012-12-18 16:28:35 +0000,web,http://sudarmuthu.com/wordpress/,Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt;   so feel free to go ahead and smoke that $ &lt;#&gt;  worth,ham,,
2.81E+17,2.81E+17,10030732,,,2012-12-18 13:57:39 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,ok. I am a gentleman and will treat you with dignity and respect.,ham,,
2.81E+17,2.81E+17,27199826,,,2012-12-18 09:50:05 +0000,web,,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,,
2.81E+17,2.81E+17,11333192,,,2012-12-17 12:20:43 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Hi :)finally i completed the course:),ham,,
2.79E+17,2.79E+17,1328621,,,2012-12-13 07:08:08 +0000,web,http://sudarmuthu.com/contact,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,ham,,
2.79E+17,2.79E+17,78757668,,,2012-12-12 15:59:39 +0000,web,http://hardwarefun.com/tutorials/parsing-json-in-arduino,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,,
2.79E+17,2.79E+17,747153,,,2012-12-12 05:46:38 +0000,web,,Aight yo  dats straight dogg,ham,,
2.76E+17,,,2.76E+17,742964078,2012-12-05 17:09:27 +0000,web,http://hardwarefun.com/reviews/ti-stellaris-lm4f120-launchpad-review,K:)k:)good:)study well.,ham,,
2.76E+17,2.76E+17,141436696,,,2012-12-04 12:31:58 +0000,web,http://hardwarefun.com,Easy ah?sen got selected means its good..,ham,,
2.75E+17,,,,,2012-12-01 06:05:37 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Sorry  I'll call later,ham,,
2.74E+17,2.74E+17,871817384,,,2012-11-29 09:07:51 +0000,web,,Hey company elama po mudyadhu.,ham,,
2.73E+17,2.71E+17,1593171,,,2012-11-26 15:29:47 +0000,web,,Sorry battery died  yeah I'm here,ham,,
2.68E+17,2.68E+17,44962404,,,2012-11-12 13:09:24 +0000,web,http://sudarmuthu.com/contact,Where are you?when wil you reach here?,ham,,
2.67E+17,2.67E+17,14065526,,,2012-11-10 03:07:04 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Okay. No no  just shining on. That was meant to be signing  but that sounds better.,ham,,
2.66E+17,2.66E+17,15491423,,,2012-11-06 04:36:40 +0000,web,,Kallis wont bat in 2nd innings.,ham,,
2.64E+17,,,2.64E+17,742964078,2012-11-02 03:12:19 +0000,web,,What you doing?how are you?,ham,,
2.64E+17,2.64E+17,13901092,,,2012-11-01 05:17:45 +0000,web,,Where are you lover ? I need you ...,ham,,
2.63E+17,,,2.63E+17,742964078,2012-10-28 17:47:07 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,ham,,
2.62E+17,,,2.62E+17,41866709,2012-10-28 06:03:01 +0000,web,http://www.slideshare.net/anil_pugalia/mobile-hacking,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam,,
2.62E+17,,47274404,,,2012-10-26 05:19:27 +0000,web,,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam,,
2.61E+17,2.61E+17,15335523,,,2012-10-25 14:52:45 +0000,web,,Awesome  I'll see you in a bit,ham,,
2.61E+17,,16274011,,,2012-10-23 15:44:56 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Ok. I asked for money how far,ham,,
2.61E+17,,,2.61E+17,77888423,2012-10-23 06:29:50 +0000,web,,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham,,
2.60E+17,,,2.60E+17,742964078,2012-10-22 16:14:20 +0000,web,http://hardwarefun.com/news/talk-on-open-source-hardware-by-ian-of-dangerous-prototypes,Oops. 4 got that bit.,ham,,
2.60E+17,2.60E+17,15491423,,,2012-10-22 06:25:39 +0000,web,,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham,,
2.60E+17,,,,,2012-10-21 04:46:13 +0000,web,,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,ham,,
2.60E+17,2.60E+17,15498702,,,2012-10-20 13:56:31 +0000,web,,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,ham,,
2.60E+17,,,,,2012-10-20 10:49:07 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,ham,,
2.59E+17,,,,,2012-10-19 12:45:46 +0000,web,,Not really dude  have no friends i'm afraid :(,ham,,
2.58E+17,2.58E+17,218400805,,,2012-10-15 13:34:18 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,ham,,
2.56E+17,2.56E+17,824065,,,2012-10-11 13:47:11 +0000,web,,I'd say that's a good sign but  well  you know my track record at reading women,ham,,
2.56E+17,2.56E+17,218400805,,,2012-10-10 06:36:48 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam,,
2.53E+17,,,,,2012-10-03 04:43:21 +0000,web,,Just sleeping..and surfing,ham,,
2.52E+17,2.52E+17,74776862,,,2012-09-30 10:21:31 +0000,web,http://hardwarefun.com/tutorials/using-usb-host-shield-with-arduino,Where u been hiding stranger?,ham,,
2.52E+17,2.52E+17,47274404,,,2012-09-30 04:53:21 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,One small prestige problem now.,ham,,
2.52E+17,,,,,2012-09-29 15:20:27 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,TODAY is Sorry day.! If ever i was angry with you  if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz  Its ur fault  I'm basically GOOD,ham,,
2.52E+17,,,2.52E+17,76860994,2012-09-29 08:37:14 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam,,
2.52E+17,,,,,2012-09-28 06:27:43 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Check audrey's status right now,ham,,
